XD1259254963,.ONE KY Equity,ONERIVER-RISK RESPONDER
CH0012221716,ABBN SW Equity,ABB LTD-REG
US00287Y1091,ABBV US Equity,ABBVIE INC
NL0011794037,AD NA Equity,AHOLD
DE0005313704,AFX GR Equity,CARL ZEISS MEDITEC AG
US00971T1016,AKAM US Equity,AKAMAI TECHNOLOG
USxxxxxxxx,ALB US Equity,ALBEMARLE
FR0010313833,AKE FP Equity,ARKEMA
US0382221051,AMAT US Equity,APPLIED MATERIAL
AT0000A18XM4,AMS SW Equity,AMS-OSRAM AG
US0320951017,APH US Equity,AMPHENOL CORP-A
NL0010273215,ASML NA Equity,ASML HOLDING NV
SE0011166610,ATCOA SS Equity,ATLAS COPCO-A
FR0000051732,ATO FP Equity,ATOS
US11135F1012,AVGO US Equity,BROADCOM INC
DE000BASF111,BAS GR Equity,BASF
DE000BAY0017,BAYN GR Equity,BAYER AG-REG
DE0005200000,BEI GR Equity,BEIERSDORF AG
NL0012866412,BESI NA Equity,BESI BE SEMICONDUCTOR
NL0012866412,BESI NA Equity,BESI
US09247X1019,BLK US Equity,BLACKROCK INC
DE0005190003,BMW GR Equity,BMW
US1101221083,BMY US Equity,BRISTOL-MYER SQB
FR0000131104,BNP FP Equity,BNP PARIBAS
SE0015811559,BOL SS Equity,BOLIDEN AB
SE0015811567,BOLIL SS Equity,BOLIDEN AB
GB0007980591,BP/ LN Equity,BP
GB0030913577,BT/A LN Equity,BT GROUP PLC
US1729674242,C US Equity,CITIGROUP INC
FR0000125338,CAP FP Equity,CAPGEMINI SE
US1508701034,CE US Equity,CELANESE CORP
CH0210483332,CFR SW Equity,CIE FINANCI-REG
CH0559601544,CFRAO SW Equity,CIF -CW
US20030N1019,CMCSA US Equity,COMCAST CORP-CLASS A
NL0010545661,CNHI IM Equity,CNH INDUSTRIAL NV
US79466L3024,CRM US Equity,SALESFORCE.COM
US17275R1023,CSCO US Equity,CISCO SYSTEMS
CH0012138530,CSGN SW Equity,CS GROUP
IL0011334468,CYBR US Equity,CYBERARK SOFTWAR
US2441991054,DE US Equity,DEERE & CO
FR0000125486,DG FP Equity,VINCI
US25402D1028,DOCN US Equity,DIGITALOCEAN HOLDINGS INC
FR0014003TT8,DSY FP Equity,DASSAULT SYSTEME
DE000DTR0CK8,DTG GR Equity,DAIMLER TRUCK HO
DE000A0HN5C6,DWNI GR Equity,DEUTSCHE WOHNEN
US2910111044,EMR US Equity,EMERSON ELEC CO
IT0003128367,ENEL IM Equity,ENEL
DE000ENER6Y0,ENR GR Equity,SIEMENS ENERGY A
SE0000108656,ERICB SS Equity,ERICSSON LM-B
IE00B8KQN827,ETN US Equity,EATON CORP PLC
IE0008471009,EUN2 GR Equity,ISHARES CORE EURO STOXX 50
FR0000130452,FGR FP Equity,EIFFAGE
FI0009007132,FORTUM FH Equity,FORTUM OYJ
DE0005785604,FRE GR Equity,FRESENIUS SE & C
GB00BDSFG982,FTI FP Equity,TECHNIPFMC PLC
US34959E1091,FTNT US Equity,FORTINET INC
US3755581036,GILD US Equity,GILEAD SCIENCES
CH0010645932,GIVN SW Equity,GIVAUDAN-REG
IE0000669501,GLB ID Equity,GLANBIA PLC
US2193501051,GLW US Equity,CORNING INC
US37045V1008,GM US Equity,GENERAL MOTORS C
US38141G1040,GS US Equity,GOLDMAN SACHS GP
DE0006048432,HEN3 GR Equity,HENKEL AG -PREF
SE0015961909,HEXAB SS Equity,HEXAGON AB-B
FR0000121329,HO FP Equity,THALES SA
CH0012214059,HOLN FP Equity,HOLCIM LTD
US4385161066,HON US Equity,HONEYWELL INTL
ES0144580Y14,IBE SM Equity,IBERDROLA SA
ES06445809N8,IBE/D SM Equity,IBERDROLA SA-RTS
US4581401001,INTC US Equity,INTEL CORP
US46625H1005,JPM US Equity,JPMORGAN CHASE
US4824801009,KLAC US Equity,KLA
IE0004906560,KYGA ID Equity,KERRY GROUP-A
FR0000121964,LI FP Equity,KLEPIERRE
US5398301094,LMT US Equity,LOCKHEED MARTIN
CH0025751329,LOGN SW Equity,LOGITECH INTER-R
US5128071082,LRCX US Equity,LAM RESEARCH
NL0009434992,LYB US Equity,LYONDELLBASELL-A
US5745991068,MAS US Equity,MASCO
DE0007100000,MBG GR Equity,MERCEDES-BENZ GR
IE00BD08G390,MLAQSEI ID Equity,ML-ALPQUST-?INS
US6174464486,MS US Equity,MORGAN STANLEY
US5949181045,MSFT US Equity,MICROSOFT CORP
US5951121038,MU US Equity,MICRON TECH
CH0038863350,NESN SW Equity,NESTLE SA-REG
